Match_no,Ballnumber,Inningno,Over,Outcome,Batter,Bowler,Comment,Score,runs
13,104,2,17,0,rinku singh,Mohammed Shami,"mohammed shami to rinku singh, no run,",0,0
13,105,2,17,1,rinku singh,Mohammed Shami,"mohammed shami to rinku singh, 1 run,",1,1
13,106,2,17,1,umesh yadav,Mohammed Shami,"mohammed shami to umesh yadav, 1 run,",1,1
13,107,2,17,1,rinku singh,Mohammed Shami,"mohammed shami to rinku singh, 1 run,",1,1
13,108,2,17,1,umesh yadav,Mohammed Shami,"mohammed shami to umesh yadav, 1 run,",1,1
13,109,2,17,1,rinku singh,Mohammed Shami,"mohammed shami to rinku singh, 1 run,",1,1
13,110,2,18,1wd,rinku singh,Josh Little,"josh little to rinku singh, 1 wide,",1,0
13,111,2,18,1wd,rinku singh,Josh Little,"josh little to rinku singh, 1 wide,",1,0
13,112,2,18,1,rinku singh,Josh Little,"josh little to rinku singh, 1 run,",1,1
13,113,2,18,1,umesh yadav,Josh Little,"josh little to umesh yadav, 1 run,",1,1
13,114,2,18,0,rinku singh,Josh Little,"josh little to rinku singh, no run,",0,0
13,115,2,18,0,rinku singh,Josh Little,"josh little to rinku singh, no run,",0,0
13,116,2,18,6,rinku singh,Josh Little,"josh little to rinku singh, six,",6,6
13,117,2,18,4,rinku singh,Josh Little,"josh little to rinku singh, four,",4,4
13,118,2,19,1,umesh yadav,Yash Dayal,"yash dayal to umesh yadav, 1 run,",1,1
13,119,2,19,6,rinku singh,Yash Dayal,"yash dayal to rinku singh, six,",6,6
13,120,2,19,6,rinku singh,Yash Dayal,"yash dayal to rinku singh, six,",6,6
13,121,2,19,6,rinku singh,Yash Dayal,"yash dayal to rinku singh, six,",6,6
13,122,2,19,6,rinku singh,Yash Dayal,"yash dayal to rinku singh, six,",6,6
13,123,2,19,6,rinku singh,Yash Dayal,"yash dayal to rinku singh, six,",6,6
14,1,1,0,w,prabhsimran singh,Bhuvneshwar Kumar,"bhuvneshwar kumar to prabhsimran singh, no run,                           wicket - lbw b b kumar batsmen out 0(1)",0,0
14,2,1,0,1wd,matthew short,Bhuvneshwar Kumar,"bhuvneshwar kumar to matthew short, 1 wide,",1,0
14,3,1,0,1,matthew short,Bhuvneshwar Kumar,"bhuvneshwar kumar to matthew short, 1 run,",1,1
14,4,1,0,1wd,shikhar dhawan,Bhuvneshwar Kumar,"bhuvneshwar kumar to shikhar dhawan, 1 wide,",1,0
14,5,1,0,0,shikhar dhawan,Bhuvneshwar Kumar,"bhuvneshwar kumar to shikhar dhawan, no run,",0,0
14,6,1,0,2,shikhar dhawan,Bhuvneshwar Kumar,"bhuvneshwar kumar to shikhar dhawan, 2 runs,",2,2
14,7,1,0,4,shikhar dhawan,Bhuvneshwar Kumar,"bhuvneshwar kumar to shikhar dhawan, four,",4,4
14,8,1,0,0,shikhar dhawan,Bhuvneshwar Kumar,"bhuvneshwar kumar to shikhar dhawan, no run,",0,0
14,9,1,1,1wd,matthew short,Marco Jansen,"marco jansen to matthew short, 1 wide,",1,0
14,10,1,1,0,matthew short,Marco Jansen,"marco jansen to matthew short, no run,",0,0
14,11,1,1,w,matthew short,Marco Jansen,"marco jansen to matthew short, no run,                           wicket - lbw b m jansen batsmen out 1(3)",0,0
14,12,1,1,0,jitesh sharma,Marco Jansen,"marco jansen to jitesh sharma, no run,",0,0
14,13,1,1,4,jitesh sharma,Marco Jansen,"marco jansen to jitesh sharma, four,",4,4
14,14,1,1,0,jitesh sharma,Marco Jansen,"marco jansen to jitesh sharma, no run,",0,0
14,15,1,1,0,jitesh sharma,Marco Jansen,"marco jansen to jitesh sharma, no run,",0,0
14,16,1,2,0,shikhar dhawan,Bhuvneshwar Kumar,"bhuvneshwar kumar to shikhar dhawan, no run,",0,0
14,17,1,2,0,shikhar dhawan,Bhuvneshwar Kumar,"bhuvneshwar kumar to shikhar dhawan, no run,",0,0
14,18,1,2,0,shikhar dhawan,Bhuvneshwar Kumar,"bhuvneshwar kumar to shikhar dhawan, no run,",0,0
14,19,1,2,4,shikhar dhawan,Bhuvneshwar Kumar,"bhuvneshwar kumar to shikhar dhawan, four,",4,4
14,20,1,2,0,shikhar dhawan,Bhuvneshwar Kumar,"bhuvneshwar kumar to shikhar dhawan, no run,",0,0
14,21,1,2,4,shikhar dhawan,Bhuvneshwar Kumar,"bhuvneshwar kumar to shikhar dhawan, four,",4,4
14,22,1,3,0,jitesh sharma,Marco Jansen,"marco jansen to jitesh sharma, no run,",0,0
14,23,1,3,0,jitesh sharma,Marco Jansen,"marco jansen to jitesh sharma, no run,",0,0
14,24,1,3,0,jitesh sharma,Marco Jansen,"marco jansen to jitesh sharma, no run,",0,0
14,25,1,3,0,jitesh sharma,Marco Jansen,"marco jansen to jitesh sharma, no run,",0,0
14,26,1,3,w,jitesh sharma,Marco Jansen,"marco jansen to jitesh sharma, no run,                           wicket - c aiden markram b m jansen batsmen out 4(9)",0,0
14,27,1,3,0,sam curran,Marco Jansen,"marco jansen to sam curran, no run,",0,0
14,28,1,4,1,shikhar dhawan,T Natarajan,"t natarajan to shikhar dhawan, 1 run,",1,1
14,29,1,4,0,sam curran,T Natarajan,"t natarajan to sam curran, no run,",0,0
14,30,1,4,1,sam curran,T Natarajan,"t natarajan to sam curran, 1 run,",1,1
14,31,1,4,4,shikhar dhawan,T Natarajan,"t natarajan to shikhar dhawan, four,",4,4
14,32,1,4,2,shikhar dhawan,T Natarajan,"t natarajan to shikhar dhawan, 2 runs,",2,2
14,33,1,4,0,shikhar dhawan,T Natarajan,"t natarajan to shikhar dhawan, no run,",0,0
14,34,1,5,6,sam curran,Marco Jansen,"marco jansen to sam curran, six,",6,6
14,35,1,5,4,sam curran,Marco Jansen,"marco jansen to sam curran, four,",4,4
14,36,1,5,0,sam curran,Marco Jansen,"marco jansen to sam curran, no run,",0,0
